description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","United Supermarkets, Inc.",250.0,11.5,2.88,48.1,5.8,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",246.0,10.5,3.51,45.6,5.3,,439.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Nash Finch Company,222.0,7.41,3.7,44.4,7.4,,370.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Wakefern Food Corporation,240.0,12.0,4.0,48.0,8.0,,560.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Pepperidge Farm, Inc.",265.0,10.2,5.1,46.9,8.2,,367.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Glencourt Inc.,233.0,11.6,3.49,44.2,7.0,,395.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",263.0,13.2,2.63,50.0,5.3,,395.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Gold Medal Bakery Inc.,214.0,10.7,3.57,39.3,7.1,,464.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Flowers Foods, Inc.",231.0,15.4,1.92,42.3,7.7,,423.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",237.0,10.5,2.63,47.4,5.3,,395.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",The Kroger Co.,256.0,11.6,3.49,44.2,7.0,,419.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Rouse's Enterprises, Inc.",233.0,11.6,3.49,46.5,7.0,,395.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Schwebel Baking Company,222.0,11.1,3.7,40.7,7.4,,500.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Perfection Bakeries, Inc.",273.0,9.09,3.03,48.5,6.1,,409.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Flowers Foods, Inc.",231.0,15.4,1.92,42.3,7.7,,423.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Safeway, Inc.",250.0,10.7,3.57,42.9,7.1,,0.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Flowers Foods, Inc.",200.0,13.3,2.22,42.2,11.1,,378.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",231.0,11.5,3.85,46.2,7.7,,462.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",231.0,11.5,3.85,46.2,7.7,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Alpha Baking Co., Inc.",250.0,10.0,3.75,47.5,8.8,,550.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",Bi-Lo Inc.,231.0,15.4,1.92,42.3,7.7,,423.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",The Kroger Co.,244.0,11.1,3.33,46.7,6.7,,689.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Wal-Mart Stores, Inc.",250.0,12.5,2.5,45.0,7.5,,475.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",250.0,11.5,3.85,46.2,5.8,,442.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT",United States Bakery,250.0,10.0,2.5,47.5,7.5,,500.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Safeway, Inc.",212.0,13.5,2.88,42.3,7.7,,423.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Safeway, Inc.",233.0,9.3,3.49,44.2,7.0,,395.0
"100% WHOLE WHEAT BREAD, 100% WHOLE WHEAT","Safeway, Inc.",232.0,10.7,2.68,44.6,7.1,,464.0
"100% WHOLE WHEAT PREMIUM BREAD, WHOLE WHEAT",United States Bakery,233.0,9.3,3.49,46.5,7.0,,442.0
"100% WHOLE WHEAT SANDWICH BREAD, WHOLE WHEAT",Alfred Nickles Bakery Inc.,240.0,12.0,2.0,48.0,4.0,,480.0
"100% WHOLE WHEAT SANDWICH BREAD, WHOLE WHEAT","Bimbo Bakeries USA, Inc.",250.0,11.5,2.88,48.1,5.8,,423.0
"HONEY WHOLE WHEAT BREAD, HONEY WHOLE WHEAT","Bimbo Bakeries USA, Inc.",205.0,11.4,2.27,43.2,9.1,,500.0
"HONEY WHOLE WHEAT BREAD, HONEY WHOLE WHEAT","Bimbo Bakeries USA, Inc.",237.0,10.5,1.32,50.0,5.3,,421.0
"HONEY WHOLE WHEAT BREAD, HONEY WHOLE WHEAT","Bimbo Bakeries USA, Inc.",237.0,10.5,1.32,50.0,5.3,,421.0
"HONEY WHOLE WHEAT BREAD, HONEY WHOLE WHEAT",Aspen Mills Bread Co. of Utah,240.0,7.5,0.0,47.5,7.5,,500.0
"ORGANIC 100% WHOLE WHEAT BREAD, WHOLE WHEAT","The Hain Celestial Group, Inc.",233.0,9.3,2.33,41.9,7.0,,291.0
"ORGANIC 100% WHOLE WHEAT BREAD, WHOLE WHEAT",RUDI'S,262.0,11.9,2.38,50.0,7.1,,405.0
"SLICED 100% WHOLE WHEAT BREAD, WHOLE WHEAT",Raley's,256.0,11.6,3.49,48.8,4.7,,349.0
"SOFT 100% WHOLE WHEAT BREAD, WHOLE WHEAT","Pepperidge Farm, Inc.",259.0,11.1,2.78,46.3,7.4,,463.0
"SOFT 100% WHOLE WHEAT BREAD, WHOLE WHEAT","Wegmans Food Markets, Inc. ",246.0,10.5,3.51,45.6,5.3,,368.0
"SPROUTED WHOLE WHEAT BREAD, SPROUTED WHOLE WHEAT",Maxim's Nutricare Inc,225.0,7.5,3.75,47.5,7.5,,450.0
"STONEGROUND WHOLE WHEAT BREAD, STONEGROUND WHOLE WHEAT","Safeway, Inc.",209.0,9.3,3.49,39.5,4.7,,395.0
"WHEAT WHOLE GRAIN BREAD, WHEAT WHOLE GRAIN",Bay State Bakery Inc.,257.0,8.57,0.0,48.6,5.7,,86.0
"WHOLE WHEAT LAVASH VALLEY BREAD, WHOLE WHEAT",Middle East Bakery Inc,256.0,6.98,6.98,39.5,4.7,,581.0
"WHOLE WHEAT MINI PITA BREAD, WHOLE WHEAT",Target Stores,256.0,11.6,3.49,48.8,4.7,,395.0
"WHOLE WHEAT MINI PITA BREAD, WHOLE WHEAT","Wegmans Food Markets, Inc. ",250.0,20.0,2.5,37.5,5.0,,125.0
"WHOLE WHEAT NAAN ARTISAN BREAD, WHOLE WHEAT","Safeway, Inc.",286.0,9.52,8.33,45.2,4.8,,643.0
"WHOLE WHEAT ORGANIC PITA BREAD, WHOLE WHEAT",Middle East/soli's Baking Co.,228.0,8.77,2.63,45.6,7.0,,351.0
"WHOLE WHEAT ORGANIC SANDWICH BREAD, WHOLE WHEAT","Whole Foods Market, Inc.",242.0,9.09,3.03,48.5,6.1,,333.0
"WHOLE WHEAT ORGANIC SANDWICH BREAD, WHOLE WHEAT","Whole Foods Market, Inc.",242.0,9.09,3.03,48.5,6.1,,333.0
"WHOLE WHEAT ORGANIC SANDWICH BREAD, WHOLE WHEAT","Whole Foods Market, Inc.",250.0,12.5,3.12,43.8,6.2,,422.0
"WHOLE WHEAT PANKO BREAD CRUMBS, WHOLE WHEAT","Wegmans Food Markets, Inc. ",333.0,13.3,1.67,70.0,10.0,,150.0
"WHOLE WHEAT PANKO BREAD CRUMBS, WHOLE WHEAT",American Roland Food LLC,400.0,15.0,0.0,80.0,10.0,,250.0
"WHOLE WHEAT PANKO BREAD CRUMBS, WHOLE WHEAT",Wakefern Food Corporation,333.0,13.3,1.67,70.0,10.0,,167.0
"WHOLE WHEAT POCKET PITA BREAD, WHOLE WHEAT",Basson Bakery Inc.,239.0,10.9,1.09,50.0,8.7,,457.0
"WHOLE WHEAT POCKET PITA BREAD, WHOLE WHEAT","Mounsef International, Inc.",277.0,10.6,1.32,55.5,4.0,,211.0
"WHOLE WHEAT SESAME BREAD, WHOLE WHEAT SESAME",Patsi's Herbs Corp,180.0,6.0,1.3,38.0,4.0,,520.0
"WHOLE WHEAT STONE GROUND BREAD, WHOLE WHEAT",West Coast Grocery Company,246.0,10.5,4.39,40.4,5.3,,474.0
"Bagel, wheat",,250.0,10.2,1.53,48.89,4.1,,439.0
"Bagels, wheat",,250.0,10.2,1.53,48.9,4.1,,439.0
"Muffin, wheat",,372.0,6.92,18.03,45.7,1.8,,389.0
Wheat bran,,216.0,15.55,4.25,64.51,42.8,,2.0
Wheat germ,,382.0,29.1,10.7,49.6,15.1,,4.0
"Wheat, durum",,339.0,13.7,2.47,71.1,,,2.0
"Wheat, sprouted",,198.0,7.49,1.27,42.5,1.1,,16.0
"Muffin, English, wheat or cracked wheat, with raisins",,230.0,8.21,1.84,47.94,4.6,,323.0
"Roll, wheat or cracked wheat, hamburger bun",,269.0,11.69,3.61,47.31,4.2,,463.0
"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",,339.0,12.45,16.82,37.42,4.6,,357.0
Bologna sandwich on wheat,,272.0,10.89,13.53,26.54,2.8,,759.0
Ham sandwich on wheat,,185.0,13.96,3.86,23.62,2.8,,657.0
Vegetable sandwich on wheat,,119.0,4.67,2.25,20.14,2.7,,370.0
Italian sandwich on wheat,,308.0,16.42,18.92,17.53,2.0,,1006.0
Salami sandwich on wheat,,319.0,16.07,17.34,23.84,2.8,,1075.0
Tomato sandwich on wheat,,199.0,9.44,6.99,24.67,3.1,,489.0
"Wheat, khorasan, cooked",,132.0,5.71,0.83,27.6,4.3,,8.0
"Wheat, khorasan, uncooked",,1410.0,14.5,2.13,70.6,11.1,,5.0
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked (Includes foods for USDA's Food Distribution Program)",,652.0,5.67,1.48,30.9,4.5,,4.0
"Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry (Includes foods for USDA's Food Distribution Program)",,361.0,13.2,2.55,73.3,11.3,,12.0
Club sandwich on wheat,,220.0,15.98,7.65,21.38,2.4,,765.0
Turkey sandwich on wheat,,187.0,13.05,3.88,24.56,2.8,,619.0
"Crackers, woven wheat",,441.0,8.94,15.26,70.14,8.6,,750.0
100% WHOLE WHEAT BREAD,NOT A BRANDED ITEM,231.0,15.4,1.92,42.3,7.7,,423.0
100% WHOLE WHEAT BREAD,"Hy-Vee, Inc.",256.0,11.6,3.49,48.8,7.0,,349.0
100% WHOLE WHEAT BREAD,"Perfection Bakeries, Inc.",240.0,16.0,2.0,44.0,8.0,,420.0
100% WHOLE WHEAT BREAD,"Lowe's Food Stores, Inc.",231.0,15.4,1.92,42.3,7.7,,423.0
100% WHOLE WHEAT BREAD,"Flowers Foods, Inc.",240.0,16.0,2.0,44.0,8.0,,420.0
100% WHOLE WHEAT BREAD,Schmidt Baking Company,280.0,12.0,4.0,48.0,8.0,,600.0
100% WHOLE WHEAT BREAD,"Big Y Foods, Inc.",250.0,7.14,5.36,42.9,7.1,,446.0
100% WHOLE WHEAT BREAD,Pan-O-Gold Baking Co.,250.0,10.7,3.57,46.4,7.1,,500.0
100% WHOLE WHEAT BREAD,"Breadsmith Franchising, Inc.",239.0,8.7,1.09,50.0,8.7,,478.0
100% WHOLE WHEAT BREAD,United States Bakery,233.0,9.3,3.49,46.5,7.0,,326.0
100% WHOLE WHEAT BREAD,"Bimbo Bakeries USA, Inc.",231.0,11.5,3.85,46.2,7.7,,442.0
100% WHOLE WHEAT BREAD,"Wegmans Food Markets, Inc. ",238.0,11.9,3.57,45.2,7.1,,429.0
100% WHOLE WHEAT BREAD,"Weis Markets, Inc.",244.0,11.1,3.33,40.0,6.7,,533.0
100% WHOLE WHEAT BREAD,"C.B. Dumont Co., Inc.",242.0,9.09,3.03,48.5,6.1,,348.0
100% WHOLE WHEAT BREAD,"Giant Eagle, Inc.",260.0,12.0,3.0,46.0,8.0,,460.0
100% WHOLE WHEAT BREAD,Pan-O-Gold Baking Co.,214.0,10.7,1.79,50.0,7.1,,536.0
100% WHOLE WHEAT BREAD,Walgreens Co.,240.0,12.0,3.0,44.0,6.0,,460.0
100% WHOLE WHEAT BREAD,"Perfection Bakeries, Inc.",250.0,10.0,2.5,50.0,5.0,,550.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",235.0,11.8,4.41,44.1,5.9,,559.0
100% WHOLE WHEAT BREAD,The Kroger Co.,222.0,11.1,3.33,44.4,8.9,,422.0
100% WHOLE WHEAT BREAD,"Foodtown, Inc.",240.0,12.0,3.0,40.0,6.0,,420.0
100% WHOLE WHEAT BREAD,"Ahold USA, Inc. ",240.0,10.0,3.0,48.0,6.0,,440.0
100% WHOLE WHEAT BREAD,"Weis Markets, Inc.",280.0,12.0,4.0,48.0,8.0,,440.0
100% WHOLE WHEAT BREAD,Glencourt Inc.,242.0,11.3,3.23,45.2,6.5,,387.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",214.0,10.7,1.79,50.0,7.1,,536.0
100% WHOLE WHEAT BREAD,"Tortilla King, Inc.",250.0,10.7,3.57,46.4,7.1,,571.0
100% WHOLE WHEAT BREAD,"Ahold USA, Inc. ",250.0,10.7,3.57,42.9,7.1,,0.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",265.0,11.8,2.94,47.1,8.8,,559.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",214.0,10.7,1.79,50.0,7.1,,536.0
100% WHOLE WHEAT BREAD,"Ahold USA, Inc. ",250.0,7.14,5.36,42.9,7.1,,446.0
100% WHOLE WHEAT BREAD,"Delhaize America, Inc.",256.0,10.3,3.85,48.7,7.7,,595.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",240.0,16.0,2.0,44.0,8.0,,420.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",231.0,11.5,2.88,40.4,5.8,,442.0
100% WHOLE WHEAT BREAD,"Alpha Baking Co., Inc.",256.0,11.6,3.49,44.2,7.0,,419.0
100% WHOLE WHEAT BREAD,Lewis Bakeries Inc.,228.0,10.5,3.51,43.9,5.3,,439.0
100% WHOLE WHEAT BREAD,"Hy-Vee, Inc.",240.0,6.0,3.0,24.0,4.0,,230.0
100% WHOLE WHEAT BREAD,Target Stores,250.0,11.5,2.88,46.2,5.8,,462.0
100% WHOLE WHEAT BREAD,Klosterman Baking Company,250.0,10.0,2.5,45.0,7.5,,425.0
100% WHOLE WHEAT BREAD,Lewis Bakeries Inc.,245.0,10.2,3.06,42.9,6.1,,449.0
100% WHOLE WHEAT BREAD,Pan-O-Gold Baking Co.,235.0,11.8,2.94,47.1,5.9,,559.0
100% WHOLE WHEAT BREAD,Aunt Millie's Foodservice ,279.0,11.6,3.49,53.5,7.0,,326.0
100% WHOLE WHEAT BREAD,"Bimbo Bakeries USA, Inc.",240.0,10.0,3.0,46.0,6.0,,460.0
100% WHOLE WHEAT BREAD,Maxim's Nutricare Inc,256.0,7.69,0.0,48.7,5.1,,538.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",250.0,10.7,3.57,46.4,7.1,,500.0
100% WHOLE WHEAT BREAD,"Bimbo Bakeries USA, Inc.",228.0,12.3,2.63,38.6,7.0,,351.0
100% WHOLE WHEAT BREAD,"Perfection Bakeries, Inc.",290.0,12.9,3.23,45.2,6.5,,387.0
100% WHOLE WHEAT BREAD,United States Bakery,250.0,10.0,3.75,47.5,5.0,,325.0
100% WHOLE WHEAT BREAD,United States Bakery,250.0,10.0,3.75,47.5,7.5,,525.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",250.0,10.7,3.57,42.9,7.1,,536.0
100% WHOLE WHEAT BREAD,Quality Bakers Of America Coop,250.0,11.5,3.85,46.2,7.7,,404.0
100% WHOLE WHEAT BREAD,Chiu Hop Company,240.0,12.0,4.0,48.0,8.0,,560.0
100% WHOLE WHEAT BREAD,"Wegmans Food Markets, Inc. ",209.0,8.96,2.99,38.8,4.5,,343.0
100% WHOLE WHEAT BREAD,"Safeway, Inc.",250.0,11.1,2.78,47.2,5.6,,389.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",259.0,7.41,5.56,48.2,7.4,,667.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",233.0,11.6,3.49,41.9,7.0,,419.0
100% WHOLE WHEAT BREAD,"Quality Chekd Dairies, Inc.",233.0,11.6,3.49,39.5,7.0,,395.0
100% WHOLE WHEAT BREAD,"Giant Eagle, Inc.",240.0,12.0,3.0,44.0,6.0,,440.0
100% WHOLE WHEAT BREAD,"Flowers Foods, Inc.",231.0,15.4,1.92,42.3,7.7,,423.0
100% WHOLE WHEAT BREAD,"Flowers Foods, Inc.",200.0,16.0,4.0,36.0,4.0,,500.0
100% WHOLE WHEAT BREAD,Love's Bakery Inc.,233.0,11.6,3.49,46.5,7.0,,465.0
100% WHOLE WHEAT BREAD,"Supervalu, Inc.",240.0,12.0,3.0,40.0,6.0,,440.0
100% WHOLE WHEAT BREAD,OROWEAT,263.0,10.5,2.63,50.0,5.3,,368.0
100% WHOLE WHEAT BREAD,Beckmann's Old World Bakery,279.0,9.3,3.49,51.2,7.0,,535.0
100% WHOLE WHEAT BREAD,Lewis Bakeries Inc.,240.0,12.0,3.0,42.0,6.0,,420.0
100% WHOLE WHEAT BREAD,"Flowers Foods, Inc.",231.0,15.4,1.92,42.3,7.7,,423.0
100% WHOLE WHEAT BREAD,"Perfection Bakeries, Inc.",250.0,10.0,1.25,50.0,7.5,,450.0
100% WHOLE WHEAT BREAD ,"Supervalu, Inc.",250.0,10.7,3.57,42.9,7.1,,464.0
"100% WHOLE WHEAT, BREAD",Lewis Bakeries Inc.,240.0,12.0,3.0,42.0,6.0,,420.0
BREAD WHOLE GRAIN WHEAT,"Bimbo Bakeries USA, Inc.",250.0,10.7,3.57,42.9,7.1,,482.0
"BREAD, 100% WHOLE WHEAT",Pan-O-Gold Baking Co.,208.0,10.4,3.12,47.9,14.6,,312.0
HONEY WHOLE WHEAT BREAD,"Breadsmith Franchising, Inc.",239.0,8.7,1.09,50.0,8.7,,478.0
HONEY WHOLE WHEAT BREAD,Xrsiz Wear,244.0,8.89,4.44,44.4,6.7,,300.0
"KLOSTERMAN, WHOLE WHEAT BREAD",Klosterman Baking Company,226.0,9.68,3.23,45.2,9.7,,419.0
"ROUNDY'S, WHOLE WHEAT BREAD",ROUNDY'S,250.0,10.0,2.5,52.5,7.5,,550.0
"ROUNDY'S, WHOLE WHEAT BREAD","Finlay Extracts & Ingredients USA, Inc.",265.0,11.8,4.41,44.1,5.9,,441.0
SOFT WHOLE WHEAT BREAD,Innisfree Farm Inc,263.0,10.5,5.26,42.1,5.3,,526.0
WHOLE GRAIN WHEAT BREAD,Raley's,233.0,6.98,2.33,48.8,7.0,,326.0
WHOLE GRAIN WHEAT BREAD,"Pepperidge Farm, Inc.",245.0,12.2,4.08,46.9,6.1,,245.0
"WHOLE WHEAT BREAD, HONEY",Ikelite,196.0,8.93,0.0,39.3,5.4,,500.0
"WHOLE WHEAT BREAD, HONEY","Publix Super Markets, Inc.",186.0,11.6,0.0,46.5,7.0,,395.0
WHOLE WHEAT FLAT BREAD,Zetov Inc,393.0,10.7,17.9,53.6,7.1,,375.0
WHOLE WHEAT FLAT BREAD,Zetov Inc,393.0,10.7,17.9,53.6,7.1,,375.0
WHOLE WHEAT PITA BREAD,Mission Foods Inc ,263.0,12.3,1.75,49.1,8.8,,526.0
"Roll, wheat or cracked wheat, hot dog bun",,269.0,11.69,3.61,47.31,4.2,,463.0
"Rolls, hamburger or hot dog, wheat/cracked wheat",,1120.0,11.7,3.61,47.3,4.2,,463.0
"Cereal, wheat squares",,356.0,10.48,1.52,75.04,13.5,,578.0
"Cereal, wheat flakes",,359.0,10.06,1.47,76.27,10.4,,574.0
"100% WHOLE WHEAT WHOLE GRAIN BREAD, 100% WHOLE WHEAT",Gold Medal Bakery Inc.,250.0,12.5,3.12,43.8,6.2,,438.0
"100% WHOLE WHEAT WHOLE GRAINS BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",256.0,9.3,4.65,48.8,7.0,,372.0
"100% WHOLE WHEAT WHOLE GRAINS BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",256.0,9.3,3.49,51.2,7.0,,372.0
"100% WHOLE WHEAT WHOLE GRAINS BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",256.0,9.3,4.65,48.8,7.0,,372.0
"100% WHOLE WHEAT WHOLE GRAINS BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",256.0,9.3,4.65,48.8,7.0,,372.0
"100% WHOLE WHEAT SANDWICH BREAD, WHEAT","Perfection Bakeries, Inc.",269.0,11.5,3.85,46.2,7.7,,404.0
"HONEY WHEAT, WHOLE GRAIN WHEAT BREAD",JMP Foods LLC,186.0,11.6,0.0,46.5,7.0,,395.0
"SANDWICH WHOLE GRAIN WHEAT BREAD, WHEAT","Perfection Bakeries, Inc.",269.0,9.62,3.85,48.1,3.8,,365.0
"WHEAT 100% WHOLE SANDWICH BREAD, WHEAT","Flowers Foods, Inc.",231.0,15.4,3.85,42.3,7.7,,538.0
"Bagel, wheat bran",,250.0,10.2,1.53,48.89,4.1,,439.0
"Bagel, wheat, with raisins",,255.0,9.51,1.4,51.93,4.1,,398.0
"Crackers, wheat, regular",,1900.0,7.3,16.4,70.7,6.9,,699.0
"Cream of wheat, NFS",,65.0,1.44,1.8,10.39,0.5,,83.0
"Muffin, wheat bran",,208.0,6.26,5.01,38.67,2.2,,208.0
"Muffins, English, wheat",,223.0,8.7,2.0,44.8,4.6,,353.0
"Oil, wheat germ",,3700.0,0.0,100.0,0.0,0.0,,0.0
"Rolls, dinner, wheat",,273.0,8.6,6.3,46.0,3.8,,524.0
Vital wheat gluten,,370.0,75.2,1.85,13.8,0.6,,29.0
"Wheat bran, crude",,216.0,15.6,4.25,64.5,42.8,,2.0
Wheat germ oil,,884.0,0.0,100.0,0.0,0.0,,0.0
"Wheat germ, crude",,360.0,23.2,9.72,51.8,13.2,,12.0
"Wheat, hard white",,342.0,11.3,1.71,75.9,12.2,,2.0
"Wheat, soft white",,340.0,10.7,1.99,75.4,12.7,,2.0
"Bologna sandwich on wheat, with cheese",,285.0,12.34,15.82,23.24,2.4,,797.0
"Ham sandwich on wheat, with cheese",,212.0,14.94,7.62,20.78,2.4,,711.0
Roast beef sandwich on wheat,,192.0,14.89,3.84,23.8,2.8,,639.0
Steak sandwich or sub on wheat,,247.0,18.93,8.27,23.49,2.8,,406.0
"Vegetable sandwich on wheat, with cheese",,146.0,6.46,5.24,18.42,2.4,,443.0
"100% WHOLE GRAIN WHEAT BREAD, WHOLE GRAIN WHEAT",Stater Bros. Markets Inc.,256.0,11.6,2.33,48.8,7.0,,442.0
"100% WHOLE WHEAT GRAIN BREAD, 100% WHOLE WHEAT",Lewis Bakeries Inc.,246.0,12.3,3.51,45.6,5.3,,474.0
"100% WHOLE WHEAT ORGANIC BREAD, 100% WHOLE WHEAT","Meijer, Inc.",267.0,8.89,3.33,48.9,6.7,,511.0
"100% WHOLE WHEAT ORGANIC BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",237.0,13.2,2.63,44.7,7.9,,316.0
"100% WHOLE WHEAT ORGANIC BREAD, 100% WHOLE WHEAT",Target Stores,263.0,10.5,3.95,50.0,7.9,,447.0
"100% WHOLE WHEAT ORGANIC SOFT BREAD, WHOLE WHEAT","Wegmans Food Markets, Inc. ",246.0,10.5,4.39,45.6,5.3,,351.0
"100% WHOLE WHEAT PITA BREAD, 100% WHOLE WHEAT","Bimbo Bakeries USA, Inc.",246.0,10.5,3.51,47.4,7.0,,404.0
"100% WHOLE WHEAT PRE-SLICED BREAD, WHOLE WHEAT","Giant Eagle, Inc.",209.0,9.3,3.49,39.5,4.7,,395.0
"100% WHOLE WHEAT SANDWICH BREAD, 100% WHOLE WHEAT",Schmidt Baking Company,250.0,14.3,3.57,46.4,7.1,,411.0
"100% WHOLE WHEAT SANDWICH BREAD, 100% WHOLE WHEAT","Wegmans Food Markets, Inc. ",222.0,8.33,2.78,44.4,8.3,,389.0
"100% WHOLE WHEAT SANDWICH BREAD, 100% WHOLE WHEAT",Target Stores,231.0,11.5,3.85,46.2,7.7,,423.0
BROWN RICE,Rite Aid Corporation,378.0,8.89,3.33,75.6,6.7,,0.0
BROWN RICE,Harris-Teeter Inc.,349.0,9.3,2.33,76.7,4.7,,0.0
BROWN RICE,"Goya Foods, Inc. ",357.0,7.14,3.57,76.2,4.8,,0.0
BROWN RICE,"Giant Eagle, Inc.",380.0,8.0,3.0,78.0,4.0,,0.0
BROWN RICE,PANOS Brands LLC ,400.0,6.67,6.67,76.7,3.3,,267.0
BROWN RICE,Food Town Stores Inc.,360.0,8.0,3.0,78.0,4.0,,0.0
BROWN RICE,Riviana Foods Inc.,192.0,3.2,2.8,36.8,3.2,,128.0
BROWN RICE,"Ahold USA, Inc. ",357.0,7.14,2.38,76.2,2.4,,0.0
BROWN RICE,"JH BIOTECH, INC.",356.0,8.89,2.22,77.8,2.2,,0.0
BROWN RICE,"Publix Super Markets, Inc.",88.0,2.0,1.2,18.0,1.2,,2.0
BROWN RICE,"Goya Foods, Inc. ",357.0,7.14,3.57,76.2,4.8,,0.0
BROWN RICE,"Hy-Vee, Inc.",186.0,2.86,5.71,30.7,1.4,,4.0
BROWN RICE,Raley's,171.0,3.57,1.07,35.0,2.9,,0.0
BROWN RICE,"Wal-Mart Stores, Inc.",356.0,8.89,3.33,77.8,4.4,,0.0
BROWN RICE,"Brookshire Brothers, Ltd",356.0,8.89,2.22,77.8,2.2,,0.0
BROWN RICE,Riviana Foods Inc.,378.0,8.89,2.22,77.8,4.4,,0.0
BROWN RICE,"Ahold USA, Inc. ",380.0,8.0,3.0,78.0,4.0,,0.0
BROWN RICE,Hannaford Bros. Co.,360.0,8.0,3.0,78.0,4.0,,0.0
BROWN RICE,Conrad Rice Mill Inc.,356.0,8.89,1.11,77.8,2.2,,22.0
BROWN RICE,WORLD KITCHEN,125.0,2.5,0.94,25.6,1.2,,3.0
BROWN RICE,JFC International Inc.,162.0,3.33,1.19,34.3,1.4,,0.0
BROWN RICE,"General Mills, Inc.",187.0,4.32,1.8,39.6,1.4,,0.0
BROWN RICE,"Goya Foods, Inc. ",357.0,7.14,3.57,76.2,4.8,,0.0
BROWN RICE,"Wegmans Food Markets, Inc. ",192.0,3.2,2.8,36.8,3.2,,128.0
BROWN RICE,"Goya Foods, Inc. ",357.0,7.14,3.57,76.2,4.8,,0.0
BROWN RICE,Charlene Berry's Dulcimer Evente,200.0,5.0,3.75,37.5,2.5,,225.0
Beans and brown rice,,162.0,6.4,4.54,24.29,3.9,,213.0
"Flour, rice, brown",,365.0,7.19,3.85,75.5,,,1.0
"Rice flour, brown",,363.0,7.23,2.78,76.5,4.6,,8.0
"Flavored rice, brown and wild",,106.0,2.72,2.15,19.34,1.1,,292.0
"Snacks, rice cakes, brown rice, buckwheat",,380.0,9.0,3.5,80.1,3.8,,116.0
"Snacks, rice cakes, brown rice, corn",,385.0,8.4,3.2,81.2,2.9,,167.0
"Snacks, rice cakes, brown rice, multigrain",,387.0,8.5,3.5,80.1,3.0,,252.0
"Snacks, rice cakes, brown rice, rye",,386.0,8.1,3.8,79.9,4.0,,110.0
"Snacks, rice cracker brown rice, plain",,387.0,8.2,2.8,81.5,4.2,,166.0
"Babyfood, peas and brown rice",,64.0,3.4,0.5,11.5,2.5,,6.0
Black beans and brown rice,,158.0,5.91,4.65,23.52,5.3,,211.0
